"id","question","difficulty","possible_answers","correct_answer","url"
"1","Šta je Živković Slobodan koga su isterali iz Elektronske Industrije?","less","[""Polupoljoprivrednik - polučovek"", ""Gradski otac"", ""Neki veliki drmr"", ""Ogorčeni seljak""]","Polupoljoprivrednik - polučovek","https://www.youtube.com/watch?v=CmhKwlT4m9c"
"2","Koliko drama imaš na sedam dana?","less","[""7"", ""100"", ""3"", ""400""]","100","https://www.youtube.com/watch?v=6pxLCkA2k9g"
"3","Šta reći, koju posluku porati, kome?","more","[""Onima koji vide, a ne čuju"", ""Onima koji gledaju, a ne vide"", ""Onima u montaži"", ""Onima koji slušaju, a ne čuju""]","Onima koji vide, a ne čuju","https://www.youtube.com/watch?v=fKvXiBVK-K4"
"4","""Kovač iz Svetlića je zapravo...""","more","[""Dizač trupaca"", ""Rabadžija"", ""Tehničar"", ""Varilac""]","Varilac","https://www.youtube.com/watch?v=Gxq79818ByQ"
"5","Je l istina da su kovači jaki momci?","less","[""Pa ni nisu baš svi"", ""Pa jesu"", ""Oni dižu trupce"", ""Samo šegrti""]","Pa ni nisu baš svi","https://www.youtube.com/watch?v=Gxq79818ByQ"
"6","Srećko MRK dokazano može da eksira...","less","[""Pivo"", ""Rakiju"", ""Vinjak"", ""Votku""]","Vinjak","https://www.youtube.com/watch?v=e4X56sm8eyo"
"7","Kako komentarišete rezultate izbora danas?","less","[""Pa nisam čuo šta je bilo"", ""Nemam komentar"", ""Sve na ovom svetu, nije istina"", ""Dobro, dobro""]","Pa nisam čuo šta je bilo","https://www.youtube.com/watch?v=pTri1RgHbys"
"8","Ko ubedljivo vodi na današnjim izborima?","less","[""Smiljko Kostić"", ""Goran Ćirić"", ""Dragoljub Stamenković"", ""Branislav Jovanović""]","Smiljko Kostić","https://www.youtube.com/watch?v=pTri1RgHbys"
"9","Šta se kaže na dan Uskrsa?","less","[""8. mart"", ""Hristos se rodi"", ""Hristos vaskrse"", ""Vajsksks vajskskrests""]","Vajsksks vajskskrests","https://www.youtube.com/watch?v=U6O5sWCzqAc"
"10","Je l se prodaje piletina?","less","[""Ne prodaje se, noo"", ""Izvolte, 200 kilo"", ""Kome duzme pile?"", ""Prodaje se""]","Ne prodaje se, noo","https://www.youtube.com/watch?v=ETfIYLg4GaY"
"11","A je l se vi plašite da jedete (pile)?","more","[""Pa mrtvog ga jedem... šta je s vama gospođo"", ""Ne plašim se"", ""Plaši se ono mene"", ""Nisam čuo šta je bilo""]","Pa mrtvog ga jedem... šta je s vama gospođo","https://www.youtube.com/watch?v=ETfIYLg4GaY"
